rule_id,item_id,task,region,input_snippet,activated,vetoed,router_type,item_features,matched_pos_tags,matched_neg_tags,candidate_status,accepted
cj_norm_violation_v1,causal_judgement_0064,causal_judgement,other,"How would a typical person answer each of the following questions about causation?
Imagine that there is a man out in the woods who is participating in a hunting competition. After spending hours wait",True,False,feature,"['intentional_action', 'temporal_order']",['intentional_action'],[],unsafe_private,False
cj_norm_violation_v1,causal_judgement_0000,causal_judgement,easy,"How would a typical person answer each of the following questions about causation?
A machine is set up in such a way that it will short circuit if both the black wire and the red wire touch the batter",False,True,feature,"['joint_and', 'norm_violation', 'simultaneous_conditions']",['norm_violation'],['joint_and'],unsafe_private,False
cj_norm_violation_v1,causal_judgement_0077,causal_judgement,easy,"How would a typical person answer each of the following questions about causation?
A lieutenant was talking with a sergeant. The lieutenant gave the order: 'Send your squad to the top of Thompson Hill",True,False,feature,['intentional_action'],['intentional_action'],[],unsafe_private,False
cj_norm_violation_v1,causal_judgement_0036,causal_judgement,shared,"How would a typical person answer each of the following questions about causation?
A bear and a hedgehog were shown a box full of colored pencils. Only bears were allowed to take pencils, whereas hedg",False,True,feature,"['joint_and', 'simultaneous_conditions']",[],['joint_and'],unsafe_private,False
cj_norm_violation_v1,causal_judgement_0020,causal_judgement,shared,"How would a typical person answer each of the following questions about causation?
Alice and Zoe work for the same company. They work in different rooms, and both of them sometimes need to access the ",False,True,feature,"['joint_and', 'simultaneous_conditions']",[],['joint_and'],unsafe_private,False
cj_norm_violation_v1,causal_judgement_0032,causal_judgement,shared,"How would a typical person answer each of the following questions about causation?
A machine is set up in such a way that it will short circuit if both the black wire and the red wire touch the batter",False,True,feature,"['joint_and', 'norm_violation', 'simultaneous_conditions']",['norm_violation'],['joint_and'],unsafe_private,False
cj_norm_violation_v1,causal_judgement_0013,causal_judgement,other,"How would a typical person answer each of the following questions about causation?
Joe was about to go pick up his child from a school in the suburbs. In the parking lot, he stopped to help a person w",False,True,feature,"['preemption', 'temporal_order']",[],['preemption'],unsafe_private,False
cj_norm_violation_v1,causal_judgement_0022,causal_judgement,shared,"How would a typical person answer each of the following questions about causation?
Janet is an employee in a factory. Since she works in the maintenance department, she knows how to grease and oil all",False,True,feature,"['joint_and', 'omission_non_action']",[],['joint_and'],unsafe_private,False
cj_norm_violation_v1,causal_judgement_0027,causal_judgement,easy,"How would a typical person answer each of the following questions about causation?
Jim, Carol, Bob, and Nancy are researchers in a remote area, and they have a limited supply of electricity. Because o",False,True,feature,"['joint_and', 'norm_violation', 'simultaneous_conditions', 'temporal_order']",['norm_violation'],['joint_and'],unsafe_private,False
cj_norm_violation_v1,causal_judgement_0074,causal_judgement,shared,"How would a typical person answer each of the following questions about causation?
Tom has a huge garden and loves flowers. He employed two gardeners who take care of the plants on his 30 flower beds:",False,True,feature,"['independently_sufficient', 'intentional_action', 'joint_and', 'norm_violation', 'temporal_order']","['intentional_action', 'norm_violation']","['joint_and', 'independently_sufficient']",unsafe_private,False
cj_norm_violation_v1,causal_judgement_0090,causal_judgement,shared,"How would a typical person answer each of the following questions about causation?
Drew, Kylie, Oliver, and Jen are regular customers at a small, local coffee shop. Given the selling price of the coff",False,False,feature,[],[],[],unsafe_private,False
cj_norm_violation_v1,causal_judgement_0002,causal_judgement,easy,"How would a typical person answer each of the following questions about causation?
Long ago, when John was only 17 years old, he got a job working for a large manufacturing company. He started out wor",False,True,feature,"['joint_and', 'temporal_order']",[],['joint_and'],unsafe_private,False
cj_norm_violation_v1,causal_judgement_0082,causal_judgement,shared,"How would a typical person answer each of the following questions about causation?
Karen was an assistant editor for a small publishing firm. She had a rare hereditary disease called Karpinson's hemot",False,True,feature,"['joint_and', 'omission_non_action', 'temporal_order']",[],['joint_and'],unsafe_private,False
cj_norm_violation_v1,causal_judgement_0053,causal_judgement,easy,"How would a typical person answer each of the following questions about causation?
Mark wants to detonate a bomb to kill some innocent people. He knows that only one button will detonate the bomb and ",True,False,feature,['intentional_action'],['intentional_action'],[],unsafe_private,False
cj_norm_violation_v1,causal_judgement_0092,causal_judgement,other,"How would a typical person answer each of the following questions about causation?
Jake desperately wants to have more money. He knows that he will inherit a lot of money when his aunt dies. One day, ",True,False,feature,['intentional_action'],['intentional_action'],[],unsafe_private,False
